Transaction_ID,User_ID,User_Name,Ration_Card_No,Date,Time,Center_ID,Item_Name,Quantity_Dispensed (kg),Authorized_Quota (kg),Remaining_Quota (kg),Authentication_Method,Authentication_Status,Transaction_Status,Dispense_Time (s),Stock_Remaining (kg),Power_Consumption (W),Temperature (°C),Humidity (%),Error_Code
TXN_0001,UID_276637,User_1,MH-33-3948-6916,2025-11-01,09:00:00,DC_02,Sugar,3.63,5.0,1.37,OTP,1,Completed,11.97,456.6,186.33,28.7,46.1,ERR_NONE
TXN_0002,UID_366428,User_2,MH-34-3553-1644,2025-11-01,09:10:00,DC_01,Wheat,3.86,5.0,1.1400000000000001,OTP,0,Failed,12.71,740.73,171.77,28.4,58.7,ERR_SENSOR
TXN_0003,UID_246647,User_3,MH-27-4528-1871,2025-11-01,09:20:00,DC_02,Rice,2.14,5.0,2.86,Aadhaar,0,Failed,12.63,537.92,162.66,33.6,50.7,ERR_SENSOR
TXN_0004,UID_697174,User_4,MH-84-1604-9739,2025-11-01,09:30:00,DC_01,Sugar,1.06,5.0,3.94,OTP,1,Completed,9.56,849.22,157.72,31.9,61.3,ERR_NONE
TXN_0005,UID_940010,User_5,MH-69-4037-3859,2025-11-01,09:40:00,DC_01,Rice,1.57,5.0,3.4299999999999997,Aadhaar,0,Failed,14.06,771.89,150.1,33.2,56.3,ERR_SENSOR
TXN_0006,UID_964554,User_6,MH-75-7680-1084,2025-11-01,09:50:00,DC_01,Sugar,2.53,5.0,2.47,Fingerprint,0,Failed,13.56,384.29,167.44,25.4,55.2,ERR_SENSOR
TXN_0007,UID_975940,User_7,MH-11-8059-4280,2025-11-01,10:00:00,DC_03,Rice,4.24,5.0,0.7599999999999998,Aadhaar,0,Failed,12.8,385.97,178.56,27.7,61.8,ERR_MOTOR
TXN_0008,UID_660505,User_8,MH-57-3476-2925,2025-11-01,10:10:00,DC_03,Rice,3.08,5.0,1.92,Aadhaar,0,Failed,8.46,474.3,170.14,31.8,60.1,ERR_MOTOR
TXN_0009,UID_489454,User_9,MH-67-3495-3308,2025-11-01,10:20:00,DC_02,Sugar,2.48,5.0,2.52,OTP,0,Failed,8.27,343.27,157.55,31.3,42.9,ERR_SENSOR
TXN_0010,UID_379810,User_10,MH-44-7175-6828,2025-11-01,10:30:00,DC_01,Wheat,3.38,5.0,1.62,Fingerprint,1,Completed,8.84,877.2,159.66,29.4,61.2,ERR_NONE
TXN_0011,UID_539738,User_11,MH-27-2739-9587,2025-11-01,10:40:00,DC_03,Wheat,2.42,5.0,2.58,Aadhaar,0,Failed,11.17,581.96,159.53,31.0,41.5,ERR_SENSOR
TXN_0012,UID_618542,User_12,MH-17-7879-9907,2025-11-01,10:50:00,DC_01,Sugar,1.07,5.0,3.9299999999999997,OTP,1,Completed,14.48,757.11,160.65,33.2,67.1,ERR_NONE
