Transaction_ID,User_ID,User_Name,Ration_Card_No,Date,Time,Center_ID,Item_Name,Quantity_Dispensed (kg),Authorized_Quota (kg),Remaining_Quota (kg),Authentication_Method,Authentication_Status,Transaction_Status,Dispense_Time (s),Stock_Remaining (kg),Power_Consumption (W),Temperature (°C),Humidity (%),Error_Code
TXN_0001,UID_557224,User_1,MH-64-2009-1458,2025-11-01,09:00:00,DC_02,Rice,6.36,10.0,3.6399999999999997,OTP,1,Completed,14.11,992.93,200.47,25.2,64.6,ERR_NONE
TXN_0002,UID_803410,User_2,MH-50-3859-3616,2025-11-01,13:00:00,DC_02,Rice,7.33,10.0,2.67,Fingerprint,1,Completed,12.63,986.43,231.96,30.5,63.5,ERR_NONE
TXN_0003,UID_681566,User_3,MH-95-7290-7958,2025-11-01,17:00:00,DC_01,Rice,7.54,10.0,2.46,Aadhaar,0,Failed,10.78,977.1,199.07,33.9,74.7,ERR_MOTOR
TXN_0004,UID_607501,User_4,MH-94-9636-3209,2025-11-01,21:00:00,DC_01,Rice,6.66,10.0,3.34,OTP,0,Failed,8.63,970.78,154.21,25.8,47.1,ERR_MOTOR
TXN_0005,UID_700673,User_5,MH-44-1396-6378,2025-11-02,01:00:00,DC_03,Rice,9.08,10.0,0.9199999999999999,Fingerprint,1,Completed,7.6,958.3,235.58,32.2,35.3,ERR_NONE
TXN_0006,UID_188660,User_6,MH-33-3337-1068,2025-11-02,05:00:00,DC_01,Rice,7.17,10.0,2.83,Aadhaar,1,Completed,9.62,958.38,244.71,32.9,63.1,ERR_NONE
TXN_0007,UID_868228,User_7,MH-49-6334-3293,2025-11-02,09:00:00,DC_02,Wheat,8.19,10.0,1.8100000000000005,Aadhaar,1,Completed,14.6,952.69,166.6,32.4,68.4,ERR_NONE
TXN_0008,UID_573405,User_8,MH-59-5226-7430,2025-11-02,13:00:00,DC_01,Rice,9.13,10.0,0.8699999999999992,Fingerprint,1,Completed,8.05,932.02,208.35,25.4,70.1,ERR_NONE
TXN_0009,UID_533238,User_9,MH-53-4517-1954,2025-11-02,17:00:00,DC_03,Wheat,8.23,10.0,1.7699999999999996,Fingerprint,1,Completed,12.19,939.25,160.63,35.9,67.9,ERR_NONE
TXN_0010,UID_230087,User_10,MH-63-7595-6198,2025-11-02,21:00:00,DC_03,Sugar,9.14,10.0,0.8599999999999994,Fingerprint,0,Failed,9.25,905.14,159.93,32.7,57.3,ERR_SENSOR
